product,canonical,status,sha256,extra_count,p1_fail,p2_fail,sheet_count,formula_count,chart_count,real_hyperlinks,reason
proje-ve-is-bazinda-gercek-karlilik-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/proje-ve-is-bazinda-gercek-karlilik-sistemi/ProjeVeIsBazindaGercekKarlilikSistemi.xlsx,READY_FOR_REVIEW,3be45a6808695541b5302c4a8584e5861b127a7b3e4f26650b5a801c45212838,0,0,0,19,6191,8,36,
puantaj-vardiya-fazla-mesai-kanit-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/puantaj-vardiya-fazla-mesai-kanit-sistemi/PuantajVardiyaFazlaMesaiKanitSistemi.xlsx,READY_FOR_REVIEW,dbeb9271347fcde8bdf40aef144d520dbff3280fa0319cd9f1b7b1bf53d4d5a1,0,0,0,15,2964,8,28,
recete-maliyeti-menu-muhendisligi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/recete-maliyeti-menu-muhendisligi/ReceteMaliyetiMenuMuhendisligi 2.xlsx,READY_FOR_REVIEW,918a2f9288879916d8560c6b816a551eed08479b2d649dee9d6a9213daa6bca5,0,0,0,18,703,9,34,
restoran-kafe-yatirim-fizibilite-ve-karlilik,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/restoran-kafe-yatirim-fizibilite-ve-karlilik/current.xlsx,READY_FOR_REVIEW,2cc6d7c6cee15608eb98551874f5dd8419e0eb273dc582205c9cd1b6f8f618c0,0,0,0,38,88,0,74,
restoran-recete-maliyet-fire,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/restoran-recete-maliyet-fire/RestoranReceteMaliyetFire.xlsx,READY_FOR_REVIEW,140471dbbe35b06f99d00b679d84a56320eb2f07ee8b20c4d97d34ce313d5487,0,0,0,17,687,9,32,
saas-finansal-planlama-runway-ve-yatirim,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/saas-finansal-planlama-runway-ve-yatirim/current.xlsx,READY_FOR_REVIEW,42f521a217a17e0a74df70ca0dda98082f41b3f3098259713c52f93c5ece140e,0,0,0,38,88,0,74,
sarj-istasyonu-yatirim,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sarj-istasyonu-yatirim/SarjIstasyonuYatirim.xlsx,READY_FOR_REVIEW,42b8bc37ebaf0f894ce09506246aab3f2cfc2855e5c55f524d64bf2dc70fa7d5,0,0,0,18,1357,8,34,
sekiz-d-duzeltici-faaliyet-dosya,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sekiz-d-duzeltici-faaliyet-dosya/SekizDDuzelticiFaaliyetDosya 2.xlsx,READY_FOR_REVIEW,b3695fd6aa1d9c8f05a5943857b6330e646b98b3f609d8d12c1adfdcb491f158,0,0,0,14,2723,8,26,
sera-kurulum-fizibilite,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sera-kurulum-fizibilite/SeraKurulumFizibilite 2.xlsx,READY_FOR_REVIEW,b06b5cc10c3a96bf2fbbf7143d34969b63521fc327e5db1ad6afcb60b5edee25,0,0,0,18,2313,8,34,
sevkiyat-fiyatlama-navlun,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sevkiyat-fiyatlama-navlun/SevkiyatFiyatlamaNavlun.xlsx,READY_FOR_REVIEW,f4eb10fd895fb7b940e380c25f451600482048224604e0bef32ff596259a9cb5,0,0,0,20,5257,8,38,
